Id,Name,Type,Rarity,Health,PrimaryAttack.Name,PrimaryAttack.Value,PrimaryAttack.Cost,PrimaryAttack.Description,SecondaryAttack.Name,SecondaryAttack.Cost,SecondaryAttack.Value,SecondaryAttack.Description,Tags,Errata
BDUB-C,BdoubleO100,Builder,Common,260,Gradient,60,BUI,,Prettystone,"BUI,BUI",80,,,
BDUB-R,BdoubleO100,Balanced,Rare,260,Retexture,60,ANY,,Shreep,"BAL,BAL,ANY",0,"Bdubs sleeps for the next 2 turns. Can't attack. Restores Full health.Can still draw and attach cards while sleeping.
Can't be used consecutively.",,
BDUB-E,BdoubleO100,Builder,Error,260,Retexture,60,ANY,,Shreep,"BAL,BAL,ANY",0,"Bdubs sleeps for the next 2 turns. Can't attack. Restores Full health.Can still draw and attach cards while sleeping.
Can't be used consecutively.",,
CUB-C,Cubfan135,Balanced,Common,290,Heyo,50,BAL,,Vex Magic,"BAL,ANY",70,,,
CUB-R,Cubfan135,Speedrunner,Rare,260,Dash,40,ANY,,Let's Go,"SPE,SPE,SPE",100,"After attack, Player can choose to swap Cubfan with AFK Hermit.",,
DOCM-C,Docm77,Redstone,Common,260,Hive Mind,40,ANY,,G.O.A.T,"RED,ANY",70,,,
DOCM-R,Docm77,Farm,Rare,280,Shadow Tech,40,ANY,,World Eater,"FARM,FARM",80,"Flip a Coin.
If heads, attack damage doubles.

If tails, attack damage is halved.",,
ETHO-C,EthosLab,Balanced,Common,260,Snack Time,40,ANY,,Breach,"BAL,BAL,BAL",100,,,
ETHO-R,EthosLab,Redstone,Rare,280,Oh Snappers,50,RED,,Blue Fire,"RED,RED",80,"Flip a Coin.
If heads, this attack also BURNs the opponent. Does an additional +20HP damage per turn until opponent is knocked out.

Going AFK does not eliminate the BURN.",,
ETHO-U,EthosLab,PvP,Ultra Rare,250,Ladders,30,ANY,,Slab,"ANY,ANY",70,"Flip a Coin 3 times.
Does an additional +20HP damage for every heads.",,
FALSE-C,FalseSymmetry,PvP,Common,250,Queen of Hearts,50,PVP,,Eagle Eye,"PVP,ANY",70,,,
FALSE-R,FalseSymmetry,Builder,Rare,250,High Noon,60,BUI,,Supremacy,"BUI,ANY",70,"Flip a Coin.
If heads, False also restores +40HP.",,
GEM-C,GeminiTay,Builder,Common,300,Cottagecore,60,BUI,,Be Great,"BUI,BUI,BUI",100,,,
GEM-R,GeminiTay,Terraformer,Rare,270,It's Fine,60,TER,,Geminislay,"TER,TER",80,"Flip a Coin.
If heads, Gem can play an additional effect card the same turn.",,
GRIAN-C,Grian,Builder,Common,300,Copper Golem,60,BUI,,Waffle,"BUI,ANY",70,,,
GRIAN-R,Grian,Prankster,Rare,300,Borrow,50,"PRA,PRA","Flip a Coin.
If heads, Grian takes opponent's active effect card.

Player can choose to attach card or discard.",Start a War,"PRA,PRA,PRA",100,,,
SCAR-C,GoodTimesWithScar,Terraformer,Common,260,Jellie Paws,50,TER,,Hot Guy,"TER,TER,TER",100,,,
SCAR-R,GoodTimesWithScar,Builder,Rare,270,Scarred for Life,50,BUI,,Deathloop,"BUI,ANY",70,"If Scar is knocked out the following turn, flip a coin.
If heads, Scar is revived with +50HP.

Can only be revived once.",,
HYPNO-C,Hypnotized,Balanced,Common,250,What Up,60,BAL,,Max Attack,"BAL,BAL,BAL",100,,,
HYPNO-R,Hypnotized,Miner,Rare,270,MmHmm,60,MINE,,Got 'Em,"MINE,ANY",70,"Player can choose to attack AFK opposing Hermits.
If AFK Hermit is attacked, attacking Hermit discards 1 attached item card.",,
JEVIN-C,iJevin,Explorer,Common,250,Got 'Em,60,EXP,,Jevination,"EXP,EXP,ANY",90,,,
